human_ensembl_gene,mouse_ensembl_gene,human_symbol,mouse_symbol,database_support
ENSG00000149179,ENSMUSG00000040591,C11orf49,1110051M20Rik,12.0
ENSG00000007312,ENSMUSG00000040592,CD79B,Cd79b,12.0
ENSG00000204764,ENSMUSG00000040594,RANBP17,Ranbp17,12.0
ENSG00000143157,ENSMUSG00000040596,POGK,Pogk,8.0
ENSG00000167842,ENSMUSG00000040599,MIS12,Mis12,12.0
ENSG00000198758,ENSMUSG00000040600,EPS8L3,Eps8l3,11.0
ENSG00000182240,ENSMUSG00000040605,BACE2,Bace2,11.0
ENSG00000189337,ENSMUSG00000040606,KAZN,Kazn,10.0
ENSG00000164438,ENSMUSG00000040610,TLX3,Tlx3,11.0
ENSG00000143195,ENSMUSG00000040612,ILDR2,Ildr2,11.0
ENSG00000111701,ENSMUSG00000040613,APOBEC1,Apobec1,11.0
ENSG00000171729,ENSMUSG00000040616,TMEM51,Tmem51,12.0
ENSG00000100889,ENSMUSG00000040618,PCK2,Pck2,11.0
ENSG00000005100,ENSMUSG00000040620,DHX33,Dhx33,11.0
ENSG00000046647,ENSMUSG00000040621,GEMIN8,Gemin8,11.0
ENSG00000120278,ENSMUSG00000040624,PLEKHG1,Plekhg1,10.0
ENSG00000111732,ENSMUSG00000040627,AICDA,Aicda,11.0
ENSG00000143194,ENSMUSG00000040629,MAEL,Mael,11.0
ENSG00000125170,ENSMUSG00000040631,DOK4,Dok4,12.0
ENSG00000129535,ENSMUSG00000040632,NRL,Nrl,12.0
ENSG00000187672,ENSMUSG00000040640,ERC2,Erc2,12.0
ENSG00000145725,ENSMUSG00000040648,PPIP5K2,Ppip5k2,10.0
ENSG00000166532,ENSMUSG00000040649,RIMKLB,Rimklb,12.0
ENSG00000163946,ENSMUSG00000040651,FAM208A,Tasor,11.0
ENSG00000180304,ENSMUSG00000040652,OAZ2,Oaz2,10.0
ENSG00000198729,ENSMUSG00000040653,PPP1R14C,Ppp1r14c,12.0
ENSG00000112667,ENSMUSG00000040658,DNPH1,Dnph1,10.0
ENSG00000142634,ENSMUSG00000040659,EFHD2,Efhd2,11.0
ENSG00000164080,ENSMUSG00000040661,RAD54L2,Rad54l2,11.0
ENSG00000175505,ENSMUSG00000040663,CLCF1,Clcf1,11.0
ENSG00000185437,ENSMUSG00000040666,SH3BGR,Sh3bgr,9.0
ENSG00000108559,ENSMUSG00000040667,NUP88,Nup88,12.0
ENSG00000111752,ENSMUSG00000040669,PHC1,Phc1,10.0
ENSG00000120254,ENSMUSG00000040675,MTHFD1L,Mthfd1l,11.0
ENSG00000131650,ENSMUSG00000040680,KREMEN2,Kremen2,12.0
ENSG00000205581,ENSMUSG00000040681,HMGN1,Hmgn1,8.0
ENSG00000110514,ENSMUSG00000040687,MADD,Madd,12.0
ENSG00000183751,ENSMUSG00000040688,TBL3,Tbl3,11.0
ENSG00000084636,ENSMUSG00000040690,COL16A1,Col16a1,12.0
ENSG00000173930,ENSMUSG00000040693,SLCO4C1,Slco4c1,12.0
ENSG00000124701,ENSMUSG00000040694,APOBEC2,Apobec2,11.0
ENSG00000116138,ENSMUSG00000040697,DNAJC16,Dnajc16,12.0
ENSG00000136490,ENSMUSG00000040699,LIMD2,Limd2,10.0
ENSG00000213983,ENSMUSG00000040701,AP1G2,Ap1g2,11.0
ENSG00000167600,ENSMUSG00000040703,CYP2S1,Cyp2s1,11.0
ENSG00000116771,ENSMUSG00000040706,AGMAT,Agmat,12.0
ENSG00000113532,ENSMUSG00000040710,ST8SIA4,St8sia4,12.0
ENSG00000174705,ENSMUSG00000040711,SH3PXD2B,Sh3pxd2b,12.0
ENSG00000108509,ENSMUSG00000040712,CAMTA2,Camta2,12.0
ENSG00000143162,ENSMUSG00000040713,CREG1,Creg1,12.0
ENSG00000104892,ENSMUSG00000040714,KLC3,Klc3,11.0
ENSG00000215695,ENSMUSG00000040715,RSC1A1,Rsc1a1,9.0
ENSG00000144730,ENSMUSG00000040717,IL17RD,Il17rd,12.0
ENSG00000164944,ENSMUSG00000040720,KIAA1429,Virma,12.0
ENSG00000136367,ENSMUSG00000040721,ZFHX2,Zfhx2,11.0
ENSG00000198794,ENSMUSG00000040722,SCAMP5,Scamp5,12.0
ENSG00000198771,ENSMUSG00000040723,RCSD1,Rcsd1,12.0
ENSG00000177301,ENSMUSG00000040724,KCNA2,Kcna2,11.0
ENSG00000105323,ENSMUSG00000040725,HNRNPUL1,Hnrnpul1,12.0
ENSG00000163666,ENSMUSG00000040726,HESX1,Hesx1,11.0
ENSG00000104413,ENSMUSG00000040728,ESRP1,Esrp1,12.0
ENSG00000110318,ENSMUSG00000040729,KIAA1377,Cep126,11.0
ENSG00000106682,ENSMUSG00000040731,EIF4H,Eif4h,12.0
ENSG00000157554,ENSMUSG00000040732,ERG,Erg,10.0
ENSG00000104881,ENSMUSG00000040734,PPP1R13L,Ppp1r13l,12.0
ENSG00000164941,ENSMUSG00000040738,INTS8,Ints8,12.0
ENSG00000162461,ENSMUSG00000040740,SLC25A34,Slc25a34,12.0
ENSG00000108523,ENSMUSG00000040746,RNF167,Rnf167,12.0
ENSG00000143119,ENSMUSG00000040747,CD53,Cd53,11.0
ENSG00000086730,ENSMUSG00000040751,LAT2,Lat2,11.0
ENSG00000197616,ENSMUSG00000040752,MYH6,Myh6,10.0
ENSG00000166091,ENSMUSG00000040759,CMTM5,Cmtm5,12.0
ENSG00000157500,ENSMUSG00000040760,APPL1,Appl1,10.0
ENSG00000065526,ENSMUSG00000040761,SPEN,Spen,9.0
ENSG00000161981,ENSMUSG00000040767,SNRNP25,Snrnp25,12.0
ENSG00000166090,ENSMUSG00000040770,IL25,Il25,11.0
ENSG00000124596,ENSMUSG00000040771,OARD1,Oard1,11.0
ENSG00000134255,ENSMUSG00000040774,CEPT1,Cept1,11.0
ENSG00000143207,ENSMUSG00000040782,RFWD2,Cop1,12.0
ENSG00000182670,ENSMUSG00000040785,TTC3,Ttc3,11.0
ENSG00000172247,ENSMUSG00000040794,C1QTNF4,C1qtnf4,12.0
ENSG00000160051,ENSMUSG00000040795,IQCC,Iqcc,12.0
ENSG00000120645,ENSMUSG00000040797,IQSEC3,Iqsec3,10.0
ENSG00000169906,ENSMUSG00000040808,S100G,S100g,9.0
ENSG00000125746,ENSMUSG00000040811,EML2,Eml2,11.0
ENSG00000165923,ENSMUSG00000040812,AGBL2,Agbl2,10.0
ENSG00000164081,ENSMUSG00000040813,TEX264,Tex264,11.0
ENSG00000174839,ENSMUSG00000040818,DENND6A,Dennd6a,12.0
ENSG00000159267,ENSMUSG00000040820,HLCS,Hlcs,11.0
ENSG00000179933,ENSMUSG00000040822,C14orf119,1700123O20Rik,12.0
ENSG00000125743,ENSMUSG00000040824,SNRPD2,Snrpd2,12.0
ENSG00000174898,ENSMUSG00000040828,CATSPERD,Catsperd,12.0
ENSG00000141497,ENSMUSG00000040829,ZMYND15,Zmynd15,11.0
ENSG00000143147,ENSMUSG00000040836,GPR161,Gpr161,11.0
ENSG00000178852,ENSMUSG00000040838,EFCAB13,Gm11639,6.0
ENSG00000177045,ENSMUSG00000040841,SIX5,Six5,12.0
ENSG00000055070,ENSMUSG00000040842,SZRD1,Szrd1,11.0
ENSG00000143155,ENSMUSG00000040843,TIPRL,Tiprl,12.0
ENSG00000213064,ENSMUSG00000040848,SFT2D2,Sft2d2,11.0
ENSG00000068878,ENSMUSG00000040850,PSME4,Psme4,12.0
ENSG00000152527,ENSMUSG00000040852,PLEKHH2,Plekhh2,11.0
ENSG00000169891,ENSMUSG00000040855,REPS2,Reps2,10.0
ENSG00000185559,ENSMUSG00000040856,DLK1,Dlk1,10.0
ENSG00000105722,ENSMUSG00000040857,ERF,Erf,11.0
ENSG00000160058,ENSMUSG00000040859,BSDC1,Bsdc1,12.0
ENSG00000058453,ENSMUSG00000040860,CROCC,Crocc,11.0
ENSG00000114933,ENSMUSG00000040865,INO80D,Ino80d,10.0
ENSG00000104941,ENSMUSG00000040866,RSPH6A,Rsph6a,12.0
ENSG00000183092,ENSMUSG00000040867,BEGAIN,Begain,9.0
ENSG00000144645,ENSMUSG00000040875,OSBPL10,Osbpl10,11.0
ENSG00000176473,ENSMUSG00000040877,WDR25,Wdr25,11.0
ENSG00000105518,ENSMUSG00000040883,TMEM205,Tmem205,10.0
ENSG00000127554,ENSMUSG00000040888,GFER,Gfer,12.0
ENSG00000170608,ENSMUSG00000040891,FOXA3,Foxa3,12.0
ENSG00000171385,ENSMUSG00000040896,KCND3,Kcnd3,12.0
ENSG00000112486,ENSMUSG00000040899,CCR6,Ccr6,12.0
ENSG00000186795,ENSMUSG00000040901,KCNK18,Kcnk18,12.0
ENSG00000105409,ENSMUSG00000040907,ATP1A3,Atp1a3,10.0
ENSG00000107829,ENSMUSG00000040913,FBXW4,Fbxw4,10.0
ENSG00000117479,ENSMUSG00000040918,SLC19A2,Slc19a2,12.0
ENSG00000177994,ENSMUSG00000040919,C2orf73,4930505A04Rik,12.0
ENSG00000116497,ENSMUSG00000040928,S100PBP,S100pbp,12.0
ENSG00000080298,ENSMUSG00000040929,RFX3,Rfx3,12.0
ENSG00000276747,ENSMUSG00000040935,PADI6,Padi6,8.0
ENSG00000168038,ENSMUSG00000040936,ULK4,Ulk4,11.0
ENSG00000174326,ENSMUSG00000040938,SLC16A11,Slc16a11,12.0
ENSG00000076928,ENSMUSG00000040940,ARHGEF1,Arhgef1,11.0
ENSG00000168769,ENSMUSG00000040943,TET2,Tet2,11.0
ENSG00000179051,ENSMUSG00000040945,RCC2,Rcc2,12.0
ENSG00000105372,ENSMUSG00000040952,RPS19,Rps19,10.0
ENSG00000134508,ENSMUSG00000040957,CABLES1,Cables1,11.0
ENSG00000161944,ENSMUSG00000040963,ASGR2,Asgr2,9.0
ENSG00000074964,ENSMUSG00000040964,ARHGEF10L,Arhgef10l,12.0
ENSG00000112499,ENSMUSG00000040966,SLC22A2,Slc22a2,12.0
ENSG00000236699,ENSMUSG00000040969,ARHGEF38,Arhgef38,8.0
ENSG00000117154,ENSMUSG00000040972,IGSF21,Igsf21,12.0
ENSG00000164746,ENSMUSG00000040978,C7orf57,Gm11992,12.0
ENSG00000164744,ENSMUSG00000040985,SUN3,Sun3,12.0
ENSG00000204516,ENSMUSG00000040987,MICB,Mill2,4.0
ENSG00000147010,ENSMUSG00000040990,SH3KBP1,Sh3kbp1,12.0
ENSG00000100439,ENSMUSG00000040997,ABHD4,Abhd4,11.0
ENSG00000168743,ENSMUSG00000040998,NPNT,Npnt,12.0
ENSG00000116525,ENSMUSG00000041000,TRIM62,Trim62,12.0
ENSG00000224792,ENSMUSG00000041009,IQCF4,Iqcf4,1.0
ENSG00000170293,ENSMUSG00000041012,CMTM8,Cmtm8,12.0
ENSG00000185737,ENSMUSG00000041014,NRG3,Nrg3,10.0
ENSG00000184368,ENSMUSG00000041020,MAP7D2,Map7d2,12.0
ENSG00000169991,ENSMUSG00000041025,IFFO2,Iffo2,12.0
ENSG00000165678,ENSMUSG00000041028,GHITM,Ghitm,11.0
ENSG00000166171,ENSMUSG00000041035,DPCD,Gm17018,12.0
ENSG00000167378,ENSMUSG00000041037,IRGQ,Irgq,12.0
ENSG00000138439,ENSMUSG00000041040,FAM117B,Fam117b,12.0
ENSG00000148602,ENSMUSG00000041044,LRIT1,Lrit1,12.0
ENSG00000122679,ENSMUSG00000041046,RAMP3,Ramp3,12.0
ENSG00000164893,ENSMUSG00000041052,SLC7A13,Slc7a13,11.0
ENSG00000163811,ENSMUSG00000041057,WDR43,Wdr43,12.0
ENSG00000123124,ENSMUSG00000041058,WWP1,Wwp1,12.0
ENSG00000162006,ENSMUSG00000041062,MSLNL,Mslnl,6.0
ENSG00000140451,ENSMUSG00000041064,PIF1,Pif1,12.0
ENSG00000136274,ENSMUSG00000041073,NACAD,Nacad,9.0
ENSG00000155760,ENSMUSG00000041075,FZD7,Fzd7,9.0
ENSG00000182771,ENSMUSG00000041078,GRID1,Grid1,10.0
ENSG00000156253,ENSMUSG00000041079,RWDD2B,Rwdd2b,12.0
ENSG00000198856,ENSMUSG00000041084,OSTC,Ostc,12.0
ENSG00000184205,ENSMUSG00000041096,TSPYL2,Tspyl2,11.0
ENSG00000155849,ENSMUSG00000041112,ELMO1,Elmo1,12.0
ENSG00000124313,ENSMUSG00000041115,IQSEC2,Iqsec2,8.0
ENSG00000169515,ENSMUSG00000041117,CCDC8,Ccdc8,12.0
ENSG00000160191,ENSMUSG00000041119,PDE9A,Pde9a,11.0
ENSG00000158747,ENSMUSG00000041120,NBL1,Nbl1,11.0
ENSG00000170903,ENSMUSG00000041124,MSANTD4,Msantd4,12.0
ENSG00000105968,ENSMUSG00000041126,H2AFV,H2afv,9.0
ENSG00000167962,ENSMUSG00000041130,ZNF598,Zfp598,9.0
ENSG00000139597,ENSMUSG00000041132,N4BP2L1,N4bp2l1,10.0
ENSG00000072501,ENSMUSG00000041133,SMC1A,Smc1a,11.0
ENSG00000166265,ENSMUSG00000041134,CYYR1,Cyyr1,11.0
ENSG00000104312,ENSMUSG00000041135,RIPK2,Ripk2,11.0
ENSG00000086288,ENSMUSG00000041138,NME8,Nme8,12.0
ENSG00000182013,ENSMUSG00000041141,PNMAL1,Pnmal1,11.0
ENSG00000162542,ENSMUSG00000041143,TMCO4,Tmco4,12.0
ENSG00000118997,ENSMUSG00000041144,DNAH7,Dnah7b,9.0
ENSG00000139618,ENSMUSG00000041147,BRCA2,Brca2,11.0
ENSG00000164823,ENSMUSG00000041153,OSGIN2,Osgin2,12.0
ENSG00000169914,ENSMUSG00000041161,OTUD3,Otud3,12.0
ENSG00000122515,ENSMUSG00000041164,ZMIZ2,Zmiz2,12.0
ENSG00000181323,ENSMUSG00000041165,SPEM1,Spem1,12.0
ENSG00000196365,ENSMUSG00000041168,LONP1,Lonp1,11.0
ENSG00000165338,ENSMUSG00000041180,HECTD2,Hectd2,11.0
ENSG00000105287,ENSMUSG00000041187,PRKD2,Prkd2,11.0
ENSG00000170175,ENSMUSG00000041189,CHRNB1,Chrnb1,12.0
ENSG00000127472,ENSMUSG00000041193,PLA2G5,Pla2g5,10.0
ENSG00000007376,ENSMUSG00000041199,RPUSD1,Rpusd1,12.0
ENSG00000117215,ENSMUSG00000041202,PLA2G2D,Pla2g2d,11.0
ENSG00000123144,ENSMUSG00000041203,C19orf43,Trir,12.0
ENSG00000180834,ENSMUSG00000041205,MAP6D1,Map6d1,12.0
ENSG00000163872,ENSMUSG00000041215,YEATS2,Yeats2,11.0
ENSG00000177182,ENSMUSG00000041216,CLVS1,Clvs1,11.0
ENSG00000198826,ENSMUSG00000041219,ARHGAP11A,Arhgap11a,10.0
ENSG00000170522,ENSMUSG00000041220,ELOVL6,Elovl6,12.0
ENSG00000165322,ENSMUSG00000041225,ARHGAP12,Arhgap12,11.0
ENSG00000172943,ENSMUSG00000041229,PHF8,Phf8,11.0
ENSG00000164332,ENSMUSG00000041231,UBLCP1,Ublcp1,12.0
ENSG00000171316,ENSMUSG00000041235,CHD7,Chd7,11.0
ENSG00000006715,ENSMUSG00000041236,VPS41,Vps41,12.0
ENSG00000143627,ENSMUSG00000041237,PKLR,Pklr,10.0
ENSG00000101773,ENSMUSG00000041238,RBBP8,Rbbp8,12.0
ENSG00000090432,ENSMUSG00000041241,MUL1,Mul1,12.0
ENSG00000196632,ENSMUSG00000041245,WNK3,Wnk3,7.0
ENSG00000078081,ENSMUSG00000041247,LAMP3,Lamp3,11.0
ENSG00000151704,ENSMUSG00000041248,KCNJ1,Kcnj1,12.0
ENSG00000215296,ENSMUSG00000041255,TMCO5B,Tmco5b,3.0
ENSG00000130856,ENSMUSG00000041258,ZNF236,Zfp236,10.0
ENSG00000178538,ENSMUSG00000041261,CA8,Car8,11.0
ENSG00000160753,ENSMUSG00000041263,RUSC1,Rusc1,12.0
ENSG00000132952,ENSMUSG00000041264,USPL1,Uspl1,12.0
ENSG00000104093,ENSMUSG00000041268,DMXL2,Dmxl2,12.0
ENSG00000198846,ENSMUSG00000041272,TOX,Tox,12.0
ENSG00000113312,ENSMUSG00000041278,TTC1,Ttc1,12.0
ENSG00000129194,ENSMUSG00000041287,SOX15,Sox15,12.0
ENSG00000153292,ENSMUSG00000041293,GPR110,Adgrf1,10.0
ENSG00000065883,ENSMUSG00000041297,CDK13,Cdk13,11.0
ENSG00000102781,ENSMUSG00000041298,KATNAL1,Katnal1,12.0
ENSG00000001626,ENSMUSG00000041301,CFTR,Cftr,12.0
ENSG00000119041,ENSMUSG00000041303,GTF3C3,Gtf3c3,12.0
ENSG00000168807,ENSMUSG00000041308,SNTB2,Sntb2,11.0
ENSG00000148826,ENSMUSG00000041309,NKX6-2,Nkx6-2,11.0
ENSG00000139514,ENSMUSG00000041313,SLC7A1,Slc7a1,12.0
ENSG00000131652,ENSMUSG00000041319,THOC6,Thoc6,12.0
ENSG00000140057,ENSMUSG00000041323,AK7,Ak7,12.0
ENSG00000122641,ENSMUSG00000041324,INHBA,Inhba,12.0
ENSG00000165494,ENSMUSG00000041328,PCF11,Pcf11,10.0
ENSG00000129244,ENSMUSG00000041329,ATP1B2,Atp1b2,12.0
ENSG00000066739,ENSMUSG00000041341,ATG2B,Atg2b,12.0
ENSG00000137494,ENSMUSG00000041343,ANKRD42,Ankrd42,10.0
ENSG00000141499,ENSMUSG00000041346,WRAP53,Wrap53,12.0
ENSG00000100739,ENSMUSG00000041347,BDKRB1,Bdkrb1,12.0
ENSG00000076864,ENSMUSG00000041351,RAP1GAP,Rap1gap,11.0
ENSG00000268350,ENSMUSG00000041353,FAM156A,Tmem29,4.0
ENSG00000237441,ENSMUSG00000041354,RGL2,Rgl2,11.0
ENSG00000163479,ENSMUSG00000041355,SSR2,Ssr2,11.0
ENSG00000184507,ENSMUSG00000041358,NUTM1,Nutm1,12.0
ENSG00000100721,ENSMUSG00000041359,TCL1A,Tcl1,10.0
ENSG00000080608,ENSMUSG00000041360,KIAA0020,Pum3,10.0
ENSG00000263155,ENSMUSG00000041361,MYZAP,Myzap,8.0
ENSG00000187164,ENSMUSG00000041362,KIAA1598,Shtn1,12.0
ENSG00000139044,ENSMUSG00000041372,B4GALNT3,B4galnt3,12.0
ENSG00000105321,ENSMUSG00000041375,CCDC9,Ccdc9,11.0
ENSG00000171840,ENSMUSG00000041377,NINJ2,Ninj2,12.0
ENSG00000184113,ENSMUSG00000041378,CLDN5,Cldn5,12.0
ENSG00000147246,ENSMUSG00000041380,HTR2C,Htr2c,11.0
ENSG00000135272,ENSMUSG00000041390,MDFIC,Mdfic,12.0
ENSG00000171806,ENSMUSG00000041396,METTL18,Mettl18,12.0
ENSG00000000460,ENSMUSG00000041406,C1orf112,BC055324,12.0
ENSG00000062650,ENSMUSG00000041408,WAPAL,Wapl,10.0
ENSG00000100697,ENSMUSG00000041415,DICER1,Dicer1,11.0
ENSG00000145675,ENSMUSG00000041417,PIK3R1,Pik3r1,8.0
ENSG00000105419,ENSMUSG00000041420,MEIS3,Meis3,10.0
ENSG00000160781,ENSMUSG00000041423,PAQR6,Paqr6,10.0
ENSG00000198130,ENSMUSG00000041426,HIBCH,Hibch,12.0
ENSG00000065057,ENSMUSG00000041429,NTHL1,Nthl1,11.0
ENSG00000134057,ENSMUSG00000041431,CCNB1,Ccnb1,12.0
ENSG00000141076,ENSMUSG00000041438,CIRH1A,Utp4,12.0
ENSG00000151690,ENSMUSG00000041439,MFSD6,Mfsd6,11.0
ENSG00000175066,ENSMUSG00000041440,GK5,Gk5,11.0
ENSG00000134909,ENSMUSG00000041444,ARHGAP32,Arhgap32,11.0
ENSG00000173269,ENSMUSG00000041445,MMRN2,Mmrn2,12.0
ENSG00000122026,ENSMUSG00000041453,RPL21,Rpl21,10.0
ENSG00000120948,ENSMUSG00000041459,TARDBP,Tardbp,11.0
ENSG00000151062,ENSMUSG00000041460,CACNA2D4,Cacna2d4,12.0
ENSG00000132975,ENSMUSG00000041468,GPR12,Gpr12,12.0
ENSG00000122376,ENSMUSG00000041471,FAM35A,Shld2,10.0
ENSG00000091482,ENSMUSG00000041476,SMPX,Smpx,12.0
ENSG00000151065,ENSMUSG00000041477,DCP1B,Dcp1b,12.0
ENSG00000204176,ENSMUSG00000041479,SYT15,Syt15,10.0
ENSG00000154864,ENSMUSG00000041482,PIEZO2,Piezo2,12.0
ENSG00000162702,ENSMUSG00000041483,ZNF281,Zfp281,10.0
ENSG00000166900,ENSMUSG00000041488,STX3,Stx3,12.0
ENSG00000148019,ENSMUSG00000041491,CEP78,Cep78,12.0
ENSG00000118193,ENSMUSG00000041498,KIF14,Kif14,11.0
ENSG00000114767,ENSMUSG00000041506,RRP9,Rrp9,12.0
ENSG00000140968,ENSMUSG00000041515,IRF8,Irf8,12.0
ENSG00000110375,ENSMUSG00000041523,UPK2,Upk2,11.0
ENSG00000164068,ENSMUSG00000041528,RNF123,Rnf123,11.0
ENSG00000092847,ENSMUSG00000041530,AGO1,Ago1,11.0
ENSG00000265203,ENSMUSG00000041534,RBP3,Rbp3,9.0
ENSG00000241106,ENSMUSG00000041538,HLA-DOB,H2-Ob,9.0
ENSG00000134532,ENSMUSG00000041540,SOX5,Sox5,11.0
ENSG00000204624,ENSMUSG00000041544,PTCHD2,Disp3,10.0
ENSG00000152137,ENSMUSG00000041548,HSPB8,Hspb8,12.0
ENSG00000188488,ENSMUSG00000041550,SERPINA5,Serpina5,10.0
ENSG00000165186,ENSMUSG00000041552,PTCHD1,Ptchd1,11.0
ENSG00000116661,ENSMUSG00000041556,FBXO2,Fbxo2,11.0
ENSG00000122176,ENSMUSG00000041559,FMOD,Fmod,12.0
ENSG00000105373,ENSMUSG00000041560,GLTSCR2,Nop53,12.0
ENSG00000154655,ENSMUSG00000041565,L3MBTL4,L3mbtl4,9.0
ENSG00000212122,ENSMUSG00000041566,TSSK1B,Tssk1,11.0
ENSG00000165953,ENSMUSG00000041567,SERPINA12,Serpina12,11.0
ENSG00000118200,ENSMUSG00000041570,CAMSAP2,Camsap2,12.0
ENSG00000178980,ENSMUSG00000041571,SEPW1,Selenow,11.0
ENSG00000188783,ENSMUSG00000041577,PRELP,Prelp,11.0
ENSG00000105392,ENSMUSG00000041578,CRX,Crx,11.0
ENSG00000069188,ENSMUSG00000041592,SDK2,Sdk2,10.0
ENSG00000125247,ENSMUSG00000041594,TMTC4,Tmtc4,11.0
ENSG00000179604,ENSMUSG00000041598,CDC42EP4,Cdc42ep4,12.0
ENSG00000163362,ENSMUSG00000041605,C1orf106,Inava,10.0
ENSG00000197971,ENSMUSG00000041607,MBP,Mbp,12.0
ENSG00000168032,ENSMUSG00000041608,ENTPD3,Entpd3,11.0
ENSG00000135127,ENSMUSG00000041609,CCDC64,Bicdl1,12.0
ENSG00000175206,ENSMUSG00000041616,NPPA,Nppa,11.0
ENSG00000163040,ENSMUSG00000041617,CCDC74A,Ccdc74a,7.0
ENSG00000141219,ENSMUSG00000041623,C17orf80,D11Wsu47e,11.0
ENSG00000152402,ENSMUSG00000041624,GUCY1A2,Gucy1a2,11.0
ENSG00000134864,ENSMUSG00000041625,GGACT,Ggact,10.0
ENSG00000133193,ENSMUSG00000041629,FAM104A,Fam104a,9.0
ENSG00000113048,ENSMUSG00000041632,MRPS27,Mrps27,10.0
ENSG00000089154,ENSMUSG00000041638,GCN1L1,Gcn1,11.0
ENSG00000116852,ENSMUSG00000041642,KIF21B,Kif21b,10.0
ENSG00000148942,ENSMUSG00000041644,SLC5A12,Slc5a12,12.0
ENSG00000089737,ENSMUSG00000041645,DDX24,Ddx24,11.0
ENSG00000102349,ENSMUSG00000041649,KLF8,Klf8,12.0
ENSG00000175198,ENSMUSG00000041650,PCCA,Pcca,12.0
ENSG00000100344,ENSMUSG00000041653,PNPLA3,Pnpla3,11.0
ENSG00000133195,ENSMUSG00000041654,SLC39A11,Slc39a11,12.0
ENSG00000083750,ENSMUSG00000041658,RRAGB,Rragb,11.0
ENSG00000129151,ENSMUSG00000041660,BBOX1,Bbox1,12.0
ENSG00000175785,ENSMUSG00000041669,PRIMA1,Prima1,9.0
ENSG00000079841,ENSMUSG00000041670,RIMS1,Rims1,10.0
ENSG00000121350,ENSMUSG00000041671,PYROXD1,Pyroxd1,11.0
ENSG00000165383,ENSMUSG00000041673,LRRC18,Lrrc18,11.0
ENSG00000125122,ENSMUSG00000041679,LRRC29,Lrrc29,8.0
ENSG00000121351,ENSMUSG00000041681,IAPP,Iapp,12.0
ENSG00000134897,ENSMUSG00000041684,BIVM,Bivm,10.0
ENSG00000157107,ENSMUSG00000041685,FCHO2,Fcho2,11.0
ENSG00000126016,ENSMUSG00000041688,AMOT,Amot,11.0
ENSG00000123700,ENSMUSG00000041695,KCNJ2,Kcnj2,12.0
ENSG00000103710,ENSMUSG00000041696,RASL12,Rasl12,12.0
ENSG00000111775,ENSMUSG00000041697,COX6A1,Cox6a1,10.0
ENSG00000182508,ENSMUSG00000041700,LHFPL1,Lhfpl1,12.0
ENSG00000011114,ENSMUSG00000041702,BTBD7,Btbd7,12.0
ENSG00000139800,ENSMUSG00000041703,ZIC5,Zic5,11.0
ENSG00000204161,ENSMUSG00000041707,C10orf128,Tmem273,7.0
ENSG00000186732,ENSMUSG00000041708,MPPED1,Mpped1,12.0
ENSG00000072315,ENSMUSG00000041710,TRPC5,Trpc5,12.0
ENSG00000012963,ENSMUSG00000041712,UBR7,Ubr7,12.0
ENSG00000101901,ENSMUSG00000041718,ALG13,Alg13,6.0
ENSG00000241973,ENSMUSG00000041720,PI4KA,Pi4ka,9.0
ENSG00000103647,ENSMUSG00000041729,CORO2B,Coro2b,12.0
ENSG00000165606,ENSMUSG00000041730,DRGX,Prrxl1,11.0
ENSG00000154330,ENSMUSG00000041731,PGM5,Pgm5,12.0
ENSG00000110871,ENSMUSG00000041733,COQ5,Coq5,12.0
ENSG00000183853,ENSMUSG00000041734,KIRREL,Kirrel,12.0
ENSG00000100300,ENSMUSG00000041736,TSPO,Tspo,11.0
ENSG00000151715,ENSMUSG00000041737,TMEM45B,Tmem45b,12.0
ENSG00000022840,ENSMUSG00000041740,RNF10,Rnf10,10.0
ENSG00000172572,ENSMUSG00000041741,PDE3A,Pde3a,11.0
ENSG00000164338,ENSMUSG00000041747,UTP15,Utp15,12.0
ENSG00000143850,ENSMUSG00000041757,PLEKHA6,Plekha6,11.0
ENSG00000163328,ENSMUSG00000041762,GPR155,Gpr155,12.0
ENSG00000134900,ENSMUSG00000041763,TPP2,Tpp2,12.0
ENSG00000134882,ENSMUSG00000041765,UBAC2,Ubac2,11.0
ENSG00000175470,ENSMUSG00000041769,PPP2R2D,Ppp2r2d,12.0
ENSG00000140090,ENSMUSG00000041771,SLC24A4,Slc24a4,9.0
ENSG00000171617,ENSMUSG00000041773,ENC1,Enc1,11.0
ENSG00000161179,ENSMUSG00000041774,YDJC,Ydjc,12.0
ENSG00000138433,ENSMUSG00000041777,CIR1,Cir1,11.0
ENSG00000065308,ENSMUSG00000041779,TRAM2,Tram2,12.0
ENSG00000165934,ENSMUSG00000041781,CPSF2,Cpsf2,12.0
ENSG00000159166,ENSMUSG00000041782,LAD1,Lad1,12.0
ENSG00000177938,ENSMUSG00000041791,CAPZA3,Capza3,12.0
ENSG00000170011,ENSMUSG00000041794,MYRIP,Myrip,12.0
ENSG00000154258,ENSMUSG00000041797,ABCA9,Abca9,10.0
ENSG00000106633,ENSMUSG00000041798,GCK,Gck,12.0
ENSG00000174307,ENSMUSG00000041801,PHLDA3,Phlda3,12.0
ENSG00000274764,ENSMUSG00000041805,WI2-3308P17.2,Pramel1,4.0
ENSG00000096093,ENSMUSG00000041809,EFHC1,Efhc1,11.0
ENSG00000100227,ENSMUSG00000041815,POLDIP3,Poldip3,10.0
ENSG00000198780,ENSMUSG00000041817,FAM169A,Fam169a,12.0
