mouse_ensembl_gene,chromosome,strand,start,end,coding_start,coding_end,KO_intervals,mouse_symbol
ENSMUSG00000031357,chrX,-,162857057,162888447,162857887,162888285,"[[162857887, 162888447]]",Syap1
ENSMUSG00000031358,chrX,-,168654117,168673898,168654872,168673829,"[[168654872, 168673898]]",Msl3
ENSMUSG00000031360,chrX,+,162901238,163032508,162901287,163029833,"[[162901238, 163029833]]",Ctps2
ENSMUSG00000031364,chrX,-,163513904,163549677,163514895,163549297,"[[163514895, 163549677]]",Grpr
ENSMUSG00000031365,chrX,+,73342621,73359080,73344885,73354380,"[[73342621, 73354380]]",Zfp275
ENSMUSG00000031367,chrX,+,163909017,163933666,163911329,163932177,"[[163909017, 163932177]]",Ap1s2
ENSMUSG00000031370,chrX,-,163935443,163958661,163936292,163958326,"[[163936292, 163958661]]",Zrsr2
ENSMUSG00000031371,chrX,-,73437315,73459044,73437498,73458939,"[[73437498, 73459044]]",Haus7
ENSMUSG00000031372,chrX,-,73433705,73435344,73433932,73434639,"[[73433932, 73435344]]",Trex2
ENSMUSG00000031373,chrX,-,163976822,164027997,163979194,164014944,"[[163979194, 164027997]]",Car5b
ENSMUSG00000031374,chrX,+,73411096,73428385,73419874,73427664,"[[73411096, 73427664]]",Zfp92
ENSMUSG00000031375,chrX,+,73483602,73495933,73490790,73494793,"[[73483602, 73494793]]",Bgn
ENSMUSG00000031376,chrX,+,73503086,73571005,73522955,73570551,"[[73503086, 73570551]]",Atp2b3
ENSMUSG00000031377,chrX,-,164192842,164258193,164193739,164258050,"[[164193739, 164258193]]",Bmx
ENSMUSG00000031378,chrX,+,73716597,73738534,73717031,73737528,"[[73716597, 73737528]]",Abcd1
ENSMUSG00000031379,chrX,+,164269371,164373011,164271636,164372562,"[[164269371, 164372562]]",Pir
ENSMUSG00000031380,chrX,+,164373378,164402650,164373830,164402127,"[[164373378, 164402127]]",Vegfd
ENSMUSG00000031381,chrX,+,164419787,164433916,164419828,164431893,"[[164419787, 164431893]]",Piga
ENSMUSG00000031382,chrX,+,164436994,164459170,164437045,164458745,"[[164436994, 164458745]]",Asb11
ENSMUSG00000031383,chrX,+,73639419,73643514,73640228,73642406,"[[73639419, 73642406]]",Dusp9
ENSMUSG00000031384,chrX,+,164506327,164539752,164506505,164539661,"[[164506327, 164539661]]",Asb9
ENSMUSG00000031385,chrX,+,73757099,73772514,73758528,73772247,"[[73757099, 73772247]]",Plxnb3
ENSMUSG00000031386,chrX,-,73942792,73966357,73944441,73966003,"[[73944441, 73966357]]",Hcfc1
ENSMUSG00000031387,chrX,-,73922121,73930850,73922142,73930743,"[[73922142, 73930850]]",Renbp
ENSMUSG00000031388,chrX,-,73916873,73921944,73916962,73921776,"[[73916962, 73921944]]",Naa10
ENSMUSG00000031389,chrX,-,73891442,73911336,73894739,73911229,"[[73894739, 73911336]]",Arhgap4
ENSMUSG00000031390,chrX,+,73892102,73895502,73892244,73893871,"[[73892102, 73893871]]",Avpr2
ENSMUSG00000031391,chrX,-,73853778,73880834,73855038,73869804,"[[73855038, 73880834]]",L1cam
ENSMUSG00000031392,chrX,-,74013914,74023918,74014061,74023745,"[[74014061, 74023918]]",Irak1
ENSMUSG00000031393,chrX,-,74026592,74135363,74035420,74085586,"[[74035420, 74135363]]",Mecp2
ENSMUSG00000031394,chrX,+,74127464,74150760,74127507,74150726,"[[74127464, 74150726]]",Opn1mw
ENSMUSG00000031397,chrX,+,74177259,74208500,74177290,74207843,"[[74177259, 74207843]]",Tktl1
ENSMUSG00000031398,chrX,+,74329066,74344689,74330996,74343539,"[[74329066, 74343539]]",Plxna3
ENSMUSG00000031399,chrX,-,74384719,74393272,74385343,74392687,"[[74385343, 74393272]]",Fam3a
ENSMUSG00000031400,chrX,-,74409483,74429194,74410210,74428171,"[[74410210, 74429194]]",G6pdx
ENSMUSG00000031402,chrX,-,75109733,75131016,75110670,75130826,"[[75110670, 75131016]]",Mpp1
ENSMUSG00000031403,chrX,+,75095854,75109777,75096112,75108758,"[[75095854, 75108758]]",Dkc1
ENSMUSG00000031422,chrX,-,136732942,136743690,136733614,136734477,"[[136733614, 136743690]]",Morf4l2
ENSMUSG00000031425,chrX,+,136822671,136839733,136822914,136836108,"[[136822671, 136836108]]",Plp1
ENSMUSG00000031428,chrX,+,136993155,136998472,136994638,136995816,"[[136993155, 136995816]]",Zcchc18
ENSMUSG00000031429,chrX,-,140948429,140956728,140949144,140956667,"[[140949144, 140956728]]",Psmd10
ENSMUSG00000031430,chrX,+,140907608,140939472,140907675,140938053,"[[140907608, 140938053]]",Vsig1
ENSMUSG00000031431,chrX,-,140539528,140600659,140540871,140598441,"[[140540871, 140600659]]",Tsc22d3
ENSMUSG00000031432,chrX,+,140456613,140476140,140456742,140475258,"[[140456613, 140475258]]",Prps1
ENSMUSG00000031433,chrX,-,139889511,139998595,139890440,139998507,"[[139890440, 139998595]]",Rbm41
ENSMUSG00000031434,chrX,-,139821632,139871677,139822678,139871373,"[[139822678, 139871677]]",Morc4
ENSMUSG00000031438,chrX,+,139563316,139673145,139563478,139671865,"[[139563316, 139671865]]",Rnf128
ENSMUSG00000031441,chr8,+,12757014,12868728,12757314,12865144,"[[12757014, 12865144]]",Atp11a
ENSMUSG00000031442,chr8,+,12873806,13020905,12879982,13019021,"[[12873806, 13019021]]",Mcf2l
ENSMUSG00000031443,chr8,+,13026034,13035809,13026059,13035313,"[[13026034, 13035313]]",F7
ENSMUSG00000031444,chr8,+,13037308,13056676,13037802,13055879,"[[13037308, 13055879]]",F10
ENSMUSG00000031445,chr8,+,13060943,13076026,13061030,13073927,"[[13060943, 13073927]]",Proz
ENSMUSG00000031446,chr8,+,13105621,13147940,13105756,13146624,"[[13105621, 13146624]]",Cul4a
ENSMUSG00000031447,chr8,+,13159161,13175338,13159389,13174555,"[[13159161, 13174555]]",Lamp1
ENSMUSG00000031448,chr8,-,13221663,13254162,13221666,13254028,"[[13221666, 13254162]]",Adprhl1
ENSMUSG00000031449,chr8,-,13386205,13396825,13386629,13396753,"[[13386629, 13396825]]",Atp4b
ENSMUSG00000031450,chr8,+,13405081,13421951,13405118,13416249,"[[13405081, 13416249]]",Grk1
ENSMUSG00000031451,chr8,-,13465374,13494490,13465749,13494339,"[[13465749, 13494490]]",Gas6
ENSMUSG00000031453,chr8,-,13566948,13677603,13568694,13677447,"[[13568694, 13677603]]",Rasa3
ENSMUSG00000031458,chr8,-,13884794,13890268,13885035,13890235,"[[13885035, 13890268]]",Coprs
ENSMUSG00000031461,chr8,+,15057653,15133541,15063854,15132953,"[[15057653, 15132953]]",Myom2
ENSMUSG00000031465,chr8,-,18690263,18741562,18692051,18741278,"[[18692051, 18741562]]",Angpt2
ENSMUSG00000031467,chr8,+,18846277,18891361,18846560,18881960,"[[18846277, 18881960]]",Agpat5
ENSMUSG00000031478,chr8,-,22128283,22166435,22128688,22162440,"[[22128688, 22166435]]",Nek3
ENSMUSG00000031479,chr8,+,22192809,22220843,22192871,22218489,"[[22192809, 22218489]]",Vps36
ENSMUSG00000031480,chr8,+,22227313,22261334,22238540,22259667,"[[22227313, 22259667]]",Thsd1
ENSMUSG00000031481,chr8,+,22283441,22371418,22284916,22371238,"[[22283441, 22371238]]",Tpte
ENSMUSG00000031482,chr8,-,22375551,22398597,22377860,22395767,"[[22377860, 22398597]]",Slc25a15
ENSMUSG00000031483,chr8,+,27023261,27040328,27025072,27036633,"[[27023261, 27036633]]",Erlin2
ENSMUSG00000031485,chr8,+,27042555,27056132,27042615,27053869,"[[27042555, 27053869]]",Plpbp
ENSMUSG00000031486,chr8,+,27085583,27123436,27085946,27122032,"[[27085583, 27122032]]",Adgra2
ENSMUSG00000031487,chr8,-,27123364,27128680,27123897,27128574,"[[27123897, 27128680]]",Brf2
ENSMUSG00000031488,chr8,-,27138773,27174646,27143179,27174585,"[[27143179, 27174646]]",Rab11fip1
ENSMUSG00000031489,chr8,-,27225776,27229588,27226757,27228419,"[[27226757, 27229588]]",Adrb3
ENSMUSG00000031490,chr8,+,27260329,27276674,27260409,27275108,"[[27260329, 27275108]]",Eif4ebp1
ENSMUSG00000031491,chr8,-,27403212,27413944,27404394,27413702,"[[27404394, 27413944]]",Chrna6
ENSMUSG00000031492,chr8,+,27368711,27399730,27368969,27396791,"[[27368711, 27396791]]",Chrnb3
ENSMUSG00000031493,chr7,+,29170210,29173945,29170588,29173870,"[[29170210, 29173870]]",Ggn
ENSMUSG00000031497,chr8,+,10006633,10039072,10006843,10035438,"[[10006633, 10035438]]",Tnfsf13b
ENSMUSG00000031502,chr8,-,11198423,11312826,11199706,11312599,"[[11199706, 11312826]]",Col4a1
ENSMUSG00000031503,chr8,+,11312805,11449287,11313464,11448313,"[[11312805, 11448313]]",Col4a2
ENSMUSG00000031504,chr8,-,11453518,11478710,11454000,11478499,"[[11454000, 11478710]]",Rab20
ENSMUSG00000031505,chr8,+,11497506,11513287,11497587,11513042,"[[11497506, 11513042]]",Naxd
ENSMUSG00000031506,chr1,+,135132700,135145317,135133802,135143251,"[[135132700, 135143251]]",Ptpn7
ENSMUSG00000031508,chr8,-,11611583,11635757,11612487,11635617,"[[11612487, 11635757]]",Ankrd10
ENSMUSG00000031511,chr8,+,11727721,11835219,11728252,11833089,"[[11727721, 11833089]]",Arhgef7
ENSMUSG00000031512,chr8,+,11840474,11855761,11840919,11855702,"[[11840474, 11855702]]",Tex29
ENSMUSG00000031513,chr8,-,34135572,34147033,34137725,34146700,"[[34137725, 34147033]]",Leprotl1
ENSMUSG00000031516,chr8,-,34090423,34108796,34090747,34108441,"[[34090747, 34108796]]",Dctn6
ENSMUSG00000031517,chr8,+,54954843,55060871,54955279,55058926,"[[54954843, 55058926]]",Gpm6a
ENSMUSG00000031518,chr8,+,54600781,54610098,54600801,54609946,"[[54600781, 54609946]]",Spata4
ENSMUSG00000031519,chr8,+,54550331,54587875,54550445,54587358,"[[54550331, 54587358]]",Asb5
ENSMUSG00000031520,chr8,+,54077606,54187096,54077779,54186065,"[[54077606, 54186065]]",Vegfc
ENSMUSG00000031521,chr8,+,53511727,53523338,53511805,53523273,"[[53511727, 53523273]]",Aga
ENSMUSG00000031523,chr8,-,36567751,36953143,36570286,36938633,"[[36570286, 36953143]]",Dlc1
ENSMUSG00000031527,chr8,-,35465253,35496196,35469131,35495367,"[[35469131, 35496196]]",Eri1
ENSMUSG00000031529,chr8,-,34826460,34965690,34831638,34965665,"[[34831638, 34965690]]",Tnks
ENSMUSG00000031530,chr8,+,34807297,34819894,34807729,34818780,"[[34807297, 34818780]]",Dusp4
ENSMUSG00000031532,chr8,+,34154576,34170821,34154644,34170118,"[[34154576, 34170118]]",Saraf
ENSMUSG00000031533,chr8,+,22411361,22429665,22411466,22429407,"[[22411361, 22429407]]",Mrps31
ENSMUSG00000031534,chr8,-,22462614,22476882,22463314,22474425,"[[22463314, 22476882]]",Smim19
ENSMUSG00000031535,chr8,+,22624043,22627547,22624183,22627035,"[[22624043, 22627035]]",Dkk4
ENSMUSG00000031536,chr8,-,22628126,22653418,22628278,22653374,"[[22628278, 22653418]]",Polb
ENSMUSG00000031537,chr8,-,22659212,22706589,22660394,22706186,"[[22660394, 22706589]]",Ikbkb
ENSMUSG00000031538,chr8,+,22757747,22782844,22767105,22782103,"[[22757747, 22782103]]",Plat
ENSMUSG00000031539,chr8,-,22787354,22805622,22789356,22804032,"[[22789356, 22805622]]",Ap3m2
ENSMUSG00000031540,chr8,+,22859535,22943259,22862202,22940639,"[[22859535, 22940639]]",Kat6a
ENSMUSG00000031543,chr8,+,22974844,23150497,22975136,23148305,"[[22974844, 23148305]]",Ank1
ENSMUSG00000031545,chr8,-,23171265,23208346,23174555,23190880,"[[23174555, 23208346]]",Gpat4
ENSMUSG00000031546,chr8,-,23226616,23237659,23227082,23237075,"[[23227082, 23237659]]",Gins4
ENSMUSG00000031548,chr8,+,23411502,23449632,23411785,23446485,"[[23411502, 23446485]]",Sfrp1
ENSMUSG00000031549,chr8,-,24532454,24576333,24533606,24576248,"[[24533606, 24576333]]",Ido2
ENSMUSG00000031551,chr8,-,24584136,24597009,24584405,24596939,"[[24584405, 24597009]]",Ido1
ENSMUSG00000031552,chr8,-,24602246,24674755,24602353,24674697,"[[24602353, 24674755]]",Adam18
ENSMUSG00000031555,chr8,-,24949611,25016927,24950920,25016781,"[[24950920, 25016927]]",Adam9
ENSMUSG00000031556,chr8,+,25017211,25023260,25017369,25022776,"[[25017211, 25022776]]",Tm2d2
ENSMUSG00000031557,chr8,-,25039144,25102376,25042679,25088482,"[[25042679, 25102376]]",Plekha2
ENSMUSG00000031558,chr5,+,47983138,48307733,47985040,48304238,"[[47983138, 48304238]]",Slit2
ENSMUSG00000031561,chr8,-,48227682,48843951,48228449,48674641,"[[48228449, 48843951]]",Tenm3
ENSMUSG00000031562,chr8,+,48099092,48153233,48111665,48153208,"[[48099092, 48153208]]",Dctd
ENSMUSG00000031563,chr8,-,47823959,47990551,47828721,47990196,"[[47828721, 47990551]]",Wwc2
ENSMUSG00000031565,chr8,+,25513654,25575718,25532338,25573918,"[[25513654, 25573918]]",Fgfr1
ENSMUSG00000031568,chr8,+,47533664,47552825,47533920,47550724,"[[47533664, 47550724]]",Rwdd4a
ENSMUSG00000031570,chr8,+,25720037,25724887,25720090,25724237,"[[25720037, 25724237]]",Plpp5
ENSMUSG00000031574,chr8,+,25806555,25815982,25808569,25812883,"[[25806555, 25812883]]",Star
ENSMUSG00000031575,chr8,-,25815996,25847694,25817404,25840757,"[[25817404, 25847694]]",Ash2l
ENSMUSG00000031576,chr8,+,25849623,25937939,25849656,25937799,"[[25849623, 25937799]]",Kcnu1
ENSMUSG00000031577,chr8,+,31150315,31164702,31150850,31161870,"[[31150315, 31161870]]",Tti2
ENSMUSG00000031578,chr8,-,31159463,31168764,31160392,31168679,"[[31160392, 31168764]]",Mak16
ENSMUSG00000031583,chr8,-,33234384,33385527,33236340,33353372,"[[33236340, 33385527]]",Wrn
ENSMUSG00000031584,chr8,+,33653238,33698163,33653540,33697292,"[[33653238, 33697292]]",Gsr
ENSMUSG00000031585,chr8,+,33731833,33777173,33735738,33776566,"[[33731833, 33776566]]",Gtf2e2
ENSMUSG00000031586,chr8,-,33782643,33929863,33784184,33929541,"[[33784184, 33929863]]",Rbpms
ENSMUSG00000031590,chr8,-,41397459,41417074,41397611,41416961,"[[41397611, 41417074]]",Frg1
ENSMUSG00000031591,chr8,-,41340197,41374773,41341599,41374699,"[[41341599, 41374773]]",Asah1
ENSMUSG00000031592,chr8,+,41239765,41332344,41256015,41332005,"[[41239765, 41332005]]",Pcm1
ENSMUSG00000031594,chr8,-,41191434,41215156,41191524,41210489,"[[41191524, 41215156]]",Fgl1
ENSMUSG00000031595,chr8,+,40926233,40990785,40926371,40990500,"[[40926233, 40990500]]",Pdgfrl
ENSMUSG00000031596,chr8,+,40862396,40922308,40898902,40916531,"[[40862396, 40916531]]",Slc7a2
ENSMUSG00000031600,chr8,+,40511783,40550757,40512109,40545021,"[[40511783, 40545021]]",Vps37a
ENSMUSG00000031601,chr8,-,40492540,40515847,40493990,40510131,"[[40493990, 40515847]]",Cnot7
ENSMUSG00000031603,chr8,-,40279166,40308331,40279763,40308253,"[[40279763, 40308331]]",Fgf20
ENSMUSG00000031604,chr8,-,64718139,64733792,64718989,64727878,"[[64718989, 64733792]]",Msmo1
ENSMUSG00000031605,chr8,-,64739675,64850017,64740949,64849658,"[[64740949, 64850017]]",Klhl2
ENSMUSG00000031608,chr8,-,57523828,57653031,57526117,57652978,"[[57526117, 57653031]]",Galnt7
ENSMUSG00000031609,chr8,-,57482707,57487860,57482931,57487566,"[[57482931, 57487860]]",Sap30
ENSMUSG00000031610,chr8,+,57455923,57477585,57474317,57477395,"[[57455923, 57477395]]",Scrg1
ENSMUSG00000031613,chr8,+,56294585,56321043,56294620,56320202,"[[56294585, 56320202]]",Hpgd
ENSMUSG00000031616,chr8,-,77663031,77724436,77664979,77720447,"[[77664979, 77724436]]",Ednra
ENSMUSG00000031617,chr8,-,77595982,77610698,77596366,77610687,"[[77596366, 77610698]]",Tmem184c
ENSMUSG00000031618,chr8,+,76899442,77245012,76908272,77242527,"[[76899442, 77242527]]",Nr3c2
ENSMUSG00000031621,chr8,+,74873173,74893506,74873641,74892948,"[[74873173, 74892948]]",Isx
ENSMUSG00000031622,chr8,+,72723285,72758201,72723310,72757402,"[[72723285, 72757402]]",Sin3b
ENSMUSG00000031626,chr8,+,45507788,45827906,45736193,45825803,"[[45507788, 45825803]]",Sorbs2
ENSMUSG00000031627,chr8,+,46739732,46847458,46793499,46847046,"[[46739732, 46847046]]",Irf2
ENSMUSG00000031628,chr8,+,46617291,46639689,46629749,46639457,"[[46617291, 46639457]]",Casp3
ENSMUSG00000031629,chr8,+,46552028,46580007,46552087,46578365,"[[46552028, 46578365]]",Cenpu
ENSMUSG00000031631,chr8,+,46151771,46195590,46169575,46195329,"[[46151771, 46195329]]",Cfap97
ENSMUSG00000031633,chr8,-,46206797,46211284,46207466,46210922,"[[46207466, 46211284]]",Slc25a4
ENSMUSG00000031634,chr8,+,45975528,45996958,45979232,45996785,"[[45975528, 45996785]]",Ufsp2
ENSMUSG00000031635,chr8,-,62057042,62123118,62057745,62123028,"[[62057745, 62123118]]",Anxa10
ENSMUSG00000031636,chr8,+,45885461,45919548,45885580,45919011,"[[45885461, 45919011]]",Pdlim3
ENSMUSG00000031637,chr8,+,45999303,46029477,45999660,46027314,"[[45999303, 46027314]]",Lrp2bp
ENSMUSG00000031639,chr8,-,45395665,45410619,45396916,45403141,"[[45396916, 45410619]]",Tlr3
ENSMUSG00000031641,chr8,+,61487734,61506694,61487849,61503208,"[[61487734, 61503208]]",Cbr4
ENSMUSG00000031642,chr8,+,61223872,61396071,61225926,61393834,"[[61223872, 61393834]]",Sh3rf1
ENSMUSG00000031644,chr8,+,60993195,61131346,61006660,61130154,"[[60993195, 61130154]]",Nek1
ENSMUSG00000031645,chr8,-,45241174,45262031,45241451,45261080,"[[45241451, 45262031]]",F11
ENSMUSG00000031647,chr8,+,60632827,60676729,60656592,60671952,"[[60632827, 60671952]]",Mfap3l
ENSMUSG00000031651,chr8,-,43129807,43141486,43130153,43141392,"[[43130153, 43141486]]",Triml1
ENSMUSG00000031652,chr8,-,86841139,86885258,86844690,86885019,"[[86844690, 86885258]]",N4bp1
ENSMUSG00000031654,chr8,-,87468405,87472609,87470257,87472240,"[[87470257, 87472609]]",Cbln1
ENSMUSG00000031657,chr8,+,88137855,88172027,88138020,88170978,"[[88137855, 88170978]]",Heatr3
ENSMUSG00000031659,chr8,+,88272403,88329962,88306600,88327815,"[[88272403, 88327815]]",Adcy7
ENSMUSG00000031660,chr8,-,88331059,88362194,88332491,88361954,"[[88332491, 88362194]]",Brd7
ENSMUSG00000031661,chr8,+,88521354,88594884,88521507,88592149,"[[88521354, 88592149]]",Nkd1
ENSMUSG00000031662,chr8,-,88626563,88636128,88627162,88631889,"[[88627162, 88636128]]",Snx20
ENSMUSG00000031665,chr8,-,89027235,89044162,89028381,89042427,"[[89028381, 89044162]]",Sall1
ENSMUSG00000031666,chr8,+,91070057,91123844,91070176,91122443,"[[91070057, 91122443]]",Rbl2
ENSMUSG00000031667,chr8,-,91111784,91199971,91112628,91131082,"[[91112628, 91199971]]",Aktip
ENSMUSG00000031668,chr6,+,70844515,70905245,70844726,70904285,"[[70844515, 70904285]]",Eif2ak3
ENSMUSG00000031669,chr8,+,95633453,95645060,95633598,95643334,"[[95633453, 95643334]]",Gins3
ENSMUSG00000031671,chr8,+,95715881,95719010,95715937,95718778,"[[95715881, 95718778]]",Setd6
ENSMUSG00000031672,chr8,-,95864134,95888547,95865132,95888305,"[[95865132, 95888547]]",Got2
ENSMUSG00000031673,chr8,-,102632095,102785642,102634317,102679839,"[[102634317, 102785642]]",Cdh11
ENSMUSG00000031681,chr8,-,79338395,79399518,79339652,79372183,"[[79339652, 79399518]]",Smad1
ENSMUSG00000031682,chr8,-,79210431,79248570,79210653,79248452,"[[79210653, 79248570]]",1700011L22Rik
ENSMUSG00000031683,chr8,-,78804865,78821140,78808214,78813069,"[[78808214, 78821140]]",Lsm6
ENSMUSG00000031684,chr8,+,78509352,78734003,78509575,78731635,"[[78509352, 78731635]]",Slc10a7
ENSMUSG00000031688,chr8,-,78433010,78436645,78434740,78436404,"[[78434740, 78436645]]",Pou4f2
ENSMUSG00000031691,chr8,+,85036915,85057583,85038391,85055444,"[[85036915, 85055444]]",Tnpo2
ENSMUSG00000031696,chr8,-,85260392,85299802,85261133,85299457,"[[85261133, 85299802]]",Vps35
ENSMUSG00000031697,chr8,+,85299632,85308278,85299928,85307707,"[[85299632, 85307707]]",Orc6
ENSMUSG00000031698,chr8,-,85324303,85386345,85325464,85386113,"[[85325464, 85386345]]",Mylk3
ENSMUSG00000031700,chr8,+,85492576,85527560,85492927,85525623,"[[85492576, 85525623]]",Gpt2
ENSMUSG00000031701,chr8,-,85537633,85555344,85539219,85555247,"[[85539219, 85555344]]",Dnaja2
ENSMUSG00000031703,chr8,-,85717578,85840921,85718871,85840738,"[[85718871, 85840921]]",Itfg1
ENSMUSG00000031706,chr8,+,84066834,84096992,84073772,84095963,"[[84066834, 84095963]]",Rfx1
ENSMUSG00000031708,chr8,-,83571698,83594484,83571811,83594354,"[[83571811, 83594484]]",Tecr
ENSMUSG00000031709,chr8,+,83165352,83272934,83166075,83271607,"[[83165352, 83271607]]",Tbc1d9
ENSMUSG00000031710,chr8,+,83290352,83298452,83290583,83297968,"[[83290352, 83297968]]",Ucp1
ENSMUSG00000031711,chr8,-,82763621,82774160,82764232,82772999,"[[82764232, 82774160]]",Zfp330
ENSMUSG00000031712,chr8,-,82331632,82403222,82331917,82345611,"[[82331917, 82403222]]",Il15
ENSMUSG00000031714,chr8,-,80764438,80880519,80766332,80879603,"[[80766332, 80880519]]",Gab1
ENSMUSG00000031715,chr8,-,80698507,80739497,80701066,80739096,"[[80701066, 80739497]]",Smarca5
ENSMUSG00000031722,chr8,-,109575128,109579172,109575274,109579014,"[[109575274, 109579172]]",Hp
ENSMUSG00000031723,chr8,+,109565892,109574051,109568966,109572856,"[[109565892, 109572856]]",Txnl4b
ENSMUSG00000031727,chr8,+,109494027,109542640,109494905,109542401,"[[109494027, 109542401]]",Pmfbp1
ENSMUSG00000031728,chr8,+,109705546,109724932,109709488,109724615,"[[109705546, 109724615]]",Zfp821
ENSMUSG00000031729,chr8,-,109671325,109693260,109672451,109683763,"[[109672451, 109693260]]",Ist1
ENSMUSG00000031730,chr8,-,109593477,109608673,109594080,109608372,"[[109594080, 109608673]]",Dhodh
ENSMUSG00000031731,chr8,+,109778554,109864204,109802950,109863441,"[[109778554, 109860192], [109863108, 109863441]]",Ap1g1
ENSMUSG00000031732,chr8,+,109868603,109944671,109868619,109940905,"[[109868603, 109940905]]",Phlpp2
ENSMUSG00000031734,chr8,-,91798525,91802067,91798894,91801240,"[[91798894, 91802067]]",Irx3
ENSMUSG00000031737,chr8,+,92357625,92376286,92358184,92375843,"[[92357625, 92375843]]",Irx5
ENSMUSG00000031738,chr8,+,92674288,92680956,92675035,92679650,"[[92674288, 92679650]]",Irx6
ENSMUSG00000031740,chr8,+,92827291,92853420,92827625,92852662,"[[92827291, 92852662]]",Mmp2
ENSMUSG00000031748,chr8,+,93809966,93969388,93811336,93968072,"[[93809966, 93968072]]",Gnao1
ENSMUSG00000031749,chr8,+,110919922,110972480,110957712,110970272,"[[110919922, 110970272]]",St3gal2
ENSMUSG00000031750,chr8,-,110741840,110805903,110742282,110755258,"[[110742282, 110805903]]",Il34
ENSMUSG00000031751,chr8,-,93971588,94012842,93973170,94012461,"[[93973170, 94012842]]",Amfr
ENSMUSG00000031753,chr8,+,110846600,110882227,110847051,110882221,"[[110846600, 110882221]]",Cog4
ENSMUSG00000031754,chr8,-,94015496,94037031,94019562,94036892,"[[94019562, 94037031]]",Nudt21
ENSMUSG00000031755,chr8,-,94067954,94098928,94068279,94098352,"[[94068279, 94098928]]",Bbs2
ENSMUSG00000031756,chr8,+,116921740,116941503,116926092,116940914,"[[116921740, 116940914]]",Cenpn
ENSMUSG00000031757,chr8,+,94137197,94139031,94137242,94138864,"[[94137197, 94138864]]",Mt4
ENSMUSG00000031758,chr8,-,116574400,116732991,116575132,116732821,"[[116575132, 116732991]]",Cdyl2
ENSMUSG00000031760,chr8,+,94152607,94154146,94152800,94154007,"[[94152607, 94154007]]",Mt3
ENSMUSG00000031762,chr8,+,94172664,94173568,94172848,94173497,"[[94172664, 94173497]]",Mt2
ENSMUSG00000031765,chr8,+,94179082,94180327,94179311,94180190,"[[94179082, 94180190]]",Mt1
ENSMUSG00000031766,chr8,+,94329201,94366214,94329238,94365958,"[[94329201, 94365958]]",Slc12a3
ENSMUSG00000031767,chr8,+,114133557,114154739,114133599,114152013,"[[114133557, 114152013]]",Nudt7
ENSMUSG00000031770,chr8,+,94386438,94395377,94386592,94395078,"[[94386438, 94395078]]",Herpud1
ENSMUSG00000031772,chr8,+,112570043,112882717,112570135,112881879,"[[112570043, 112881879]]",Cntnap4
ENSMUSG00000031774,chr8,-,94574138,94601997,94575640,94588902,"[[94575640, 94601997]]",Fam192a
ENSMUSG00000031775,chr8,-,94674894,94696278,94676166,94696170,"[[94676166, 94696278]]",Pllp
ENSMUSG00000031776,chr8,+,94666600,94674425,94666864,94673115,"[[94666600, 94673115]]",Arl2bp
ENSMUSG00000031778,chr8,+,94772009,94782427,94772265,94780553,"[[94772009, 94780553]]",Cx3cl1
ENSMUSG00000031779,chr8,+,94745590,94751699,94745714,94749883,"[[94745590, 94749883]]",Ccl22
ENSMUSG00000031780,chr8,+,94810453,94812036,94810472,94811850,"[[94810453, 94811850]]",Ccl17
ENSMUSG00000031781,chr8,-,94819804,94838358,94823100,94832671,"[[94823100, 94838358]]",Ciapin1
ENSMUSG00000031782,chr8,+,94838321,94854895,94838422,94854335,"[[94838321, 94854335]]",Coq9
ENSMUSG00000031783,chr8,+,94857450,94873535,94857556,94871009,"[[94857450, 94871009]]",Polr2c
ENSMUSG00000031785,chr8,+,94976993,95014217,95002450,95012984,"[[94976993, 95012984]]",Adgrg1
ENSMUSG00000031786,chr8,+,95055103,95078141,95056009,95077986,"[[95055103, 95077986]]",Drc7
ENSMUSG00000031787,chr8,+,95081186,95100211,95082854,95098783,"[[95081186, 95098783]]",Katnb1
ENSMUSG00000031788,chr8,-,95099828,95202812,95100672,95138080,"[[95100672, 95202812]]",Kifc3
ENSMUSG00000031789,chr8,-,95239045,95306585,95241197,95303829,"[[95241197, 95306585]]",Cngb1
ENSMUSG00000031790,chr8,+,95352268,95375080,95352869,95372517,"[[95352268, 95372517]]",Mmp15
ENSMUSG00000031791,chr8,+,72572055,72587282,72572104,72586083,"[[72572055, 72586083]]",Tmem38a
ENSMUSG00000031792,chr8,+,95332284,95347507,95332362,95346628,"[[95332284, 95346628]]",Usb1
ENSMUSG00000031796,chr8,-,95420249,95434869,95420667,95434571,"[[95420667, 95434869]]",Cfap20
ENSMUSG00000031799,chr8,+,72135229,72153142,72135322,72151821,"[[72135229, 72151821]]",Tpm4
ENSMUSG00000031803,chr8,-,71690756,71701789,71692607,71693883,"[[71692607, 71701789]]",B3gnt3
ENSMUSG00000031805,chr8,+,71676296,71690575,71678338,71688144,"[[71676296, 71688144]]",Jak3
ENSMUSG00000031807,chr8,+,71592176,71596269,71592217,71596188,"[[71592176, 71596188]]",Pgls
ENSMUSG00000031808,chr8,+,71568882,71586708,71570722,71586056,"[[71568882, 71586056]]",Slc27a1
ENSMUSG00000031809,chr8,-,121530780,121544320,121531026,121544037,"[[121531026, 121544320]]",1700018B08Rik
